bits,numberCount,run_id,part1_time,part1_pct,part2_time,part2_pct,part3_time,part3_pct,avg_time
2,170000000,5,0.88159572,24.74565447,1.91e-06,5.371e-05,2.68102334,75.25408285,
2,170000000,avg,0.88387139,24.78126018,1.74e-06,4.871e-05,2.68281196,75.21847858,
2,170000000,avg,,,,,,,3.566693
2,190000000,1,0.95511048,24.53650238,1.2e-06,3.088e-05,2.93749156,75.4632788,
2,190000000,2,0.95543624,24.53356374,1.75e-06,4.502e-05,2.93896042,75.46623219,
2,190000000,3,0.94706797,24.42289058,1.18e-06,3.049e-05,2.93071252,75.57691053,
2,190000000,4,0.95153522,24.50588123,1.55e-06,4.001e-05,2.93134222,75.4939204,
2,190000000,5,0.9449826,24.36213669,1.07e-06,2.756e-05,2.93390834,75.63766379,
2,190000000,avg,0.9508265,24.47229903,1.35e-06,3.48e-05,2.93448301,75.52749703,
2,190000000,avg,,,,,,,3.885317
2,210000000,1,1.04715444,24.40907007,1.67e-06,3.9e-05,3.24285908,75.59073605,
2,210000000,2,1.05142922,24.50685099,1.69e-06,3.944e-05,3.2389116,75.4929791,
2,210000000,3,1.04601834,24.40149873,1.69e-06,3.951e-05,3.24067247,75.59835443,
2,210000000,4,1.05110806,24.47456768,1.44e-06,3.361e-05,3.24358066,75.5252835,
2,210000000,5,1.04686068,24.4209291,1.23e-06,2.879e-05,3.23986833,75.57891553,
2,210000000,avg,1.04851415,24.44260095,1.55e-06,3.607e-05,3.24117843,75.55723609,
2,210000000,avg,,,,,,,4.2897
2,230000000,1,1.19243805,24.74047852,2.03e-06,4.22e-05,3.62733628,75.25928551,
2,230000000,2,1.19476594,24.75773333,8.5e-06,0.00017607,3.63104767,75.24194216,
2,230000000,3,1.19258497,24.73939322,1.78e-06,3.699e-05,3.62799729,75.26042467,
2,230000000,4,1.20132743,24.87012129,2.27e-06,4.705e-05,3.62906639,75.12966011,
2,230000000,5,1.21140315,24.90183391,1.39e-06,2.866e-05,3.65330125,75.09795619,
2,230000000,avg,1.19850391,24.8021147,3.2e-06,6.614e-05,3.63374978,75.19765111,
2,230000000,avg,,,,,,,4.832265
2,250000000,1,1.29819324,25.27126431,1.7e-06,3.314e-05,3.83883204,74.72858158,
2,250000000,2,1.33322527,26.06265167,2.35e-06,4.584e-05,3.78222959,73.93719182,
2,250000000,3,1.31226917,25.55392344,2.02e-06,3.925e-05,3.82301739,74.44592646,
2,250000000,4,1.32663259,25.83603664,2.18e-06,4.238e-05,3.8081748,74.16382207,
2,250000000,5,1.32306394,25.81750006,2.12e-06,4.146e-05,3.80160805,74.18236801,
2,250000000,avg,1.31867684,25.70792398,2.07e-06,4.041e-05,3.81077238,74.29192923,
2,250000000,avg,,,,,,,5.129457
